sample_id	Cell Cycle	HIPPO	MYC	NOTCH	NRF2	PI3K	RTK RAS	TP53	TGF-Beta	WNT
6239e340-d50c-45b1-a7ca-e1135671ae0f	0	0	0	0	0	0	1	0	0	0
62ac7c91-da99-4144-b927-e90528dcd8d4	0	0	0	0	0	0	1	0	0	0
67a2e34f-454e-4253-8f22-262fc74d312c	0	0	0	0	0	0	1	0	0	0
69d6142c-3a16-46c9-8bed-1f4edc267c4d	0	0	0	0	0	0	1	0	0	0
6aba73ff-81e0-4f8d-ad12-e3136196e814	0	0	0	0	0	0	1	0	0	0
6e516c4b-fee7-4336-8470-494588e645b3	0	0	0	0	0	0	1	0	0	0
71982a1b-52a4-440f-bd5d-62a0e6cc7fd9	0	0	1	0	0	0	0	1	0	0
73f7718b-f9b1-4a63-a561-0c9cc2abeb9f	0	0	0	0	0	0	1	0	0	0
759d30b2-ddb8-49e2-a604-57ff9222d3a0	0	0	0	0	0	0	1	0	0	0
7625877a-7a2b-466f-944b-9e56689ad47b	0	0	0	1	0	0	0	1	0	0
79e81ab3-5466-4324-9387-2de00d62315c	1	0	1	0	0	1	0	1	0	0
7ac3e543-3bc2-4a59-84fc-b5aa0def592c	0	0	0	0	0	0	1	0	0	0
7f9382a5-f6da-4fe8-93ad-6adc91f508fa	0	0	0	0	0	0	1	0	0	0
86cbb7ad-b22b-414f-a122-77d38c77207d	0	0	0	0	0	0	1	0	0	0
874f64e9-8a0d-4f88-92c4-7e831842b1d1	0	0	1	0	0	0	0	1	0	0
8ce95cae-6adb-4bac-b072-94e2d9b70017	0	0	0	0	0	0	1	0	0	0
8fa7549d-d0a6-4216-9763-74b0f21c0fd7	0	0	0	0	0	0	1	0	0	0
924613ef-8732-4703-a387-136d37b2ba6b	0	0	0	0	0	0	1	0	0	0
94cf1801-a720-4b2f-aab5-0b76c8ccb242	0	0	0	0	0	0	1	0	0	0
955763f0-0735-418f-9ea4-3c980a966002	0	0	0	0	0	0	1	0	0	0
9c949c63-aa63-4a84-ac5a-b5260775cee6	0	0	0	0	0	0	1	0	0	0
a13ee768-1423-4fcc-b663-caaf6694acb3	0	0	0	0	0	0	1	0	0	0
a7fb0931-28df-46f4-bc0f-2011fc91f0e1	0	0	0	0	0	0	1	0	0	0
a92023de-5c97-4bf2-aa3c-0e768d7c5ece	0	0	0	1	0	1	1	0	0	0
aa20b9ab-dba9-4002-ad45-cafa2f85cef7	0	0	1	0	0	0	1	1	0	0
aa2654f4-94f9-487a-b415-85df69261161	0	0	0	0	0	0	1	0	0	0
ad0700e2-048a-4856-a77a-bc0b6f25f0e2	1	0	1	0	0	0	0	1	0	0
b1d2457d-3267-46ba-9fdf-663985e60538	0	0	0	0	0	0	1	0	0	0
b2190e26-1809-4aba-9f45-07c2edb3b4a4	1	0	1	0	0	0	0	0	0	0
b61f7f76-f365-4071-a28d-bf354d5a670d	0	0	0	0	0	0	1	1	0	0
bb66787e-e0b2-45b6-b452-98a6c32132e7	0	0	0	0	0	0	1	0	0	0
bb91765e-4c55-4e7d-93e8-77face8c91f4	0	0	0	0	0	0	1	0	0	0
bc0dee07-de20-44d6-be65-05af7e63ac96	0	0	0	0	0	0	1	1	0	1
bc5160ae-d629-46c4-b068-7075876b9103	0	0	0	0	0	0	1	0	0	0
bea0e802-96d3-46e2-8030-17019a71e0bb	0	0	0	0	0	0	1	0	0	0
c8f61136-0bea-4fb4-bb63-699af7f22146	0	0	0	0	0	0	1	0	0	0
c9ca979d-b3ad-4ff0-92d0-140105413d28	0	0	0	0	0	0	1	0	0	0
cdc2c513-590f-444b-9347-32ba365313a7	0	0	0	0	0	0	1	0	0	0
d1d2932b-f1c4-4080-9b75-dcf1ab0ab217	0	0	0	0	0	0	1	0	0	0
d884d070-6077-4155-9978-76aca7ba1e76	0	0	0	0	0	0	1	0	0	0
da10f77f-4414-4125-b359-de596421cca6	0	0	0	0	0	0	1	0	0	0
dccddb92-bb26-4dc9-a935-2320d089a54a	0	0	0	0	0	0	1	0	0	0
dd8f3e1c-6ed6-41c2-957d-6f679a3cb3ca	0	0	1	0	0	0	0	1	0	0
ddb6c68e-0c90-4bde-a011-523600ce8b29	0	0	0	0	0	0	1	0	0	0
de92d076-24b7-46eb-8df6-56094d264f3b	0	0	0	0	0	0	1	0	0	0
df6b025e-ccb7-4f1a-ba22-1dcf76e6554c	0	0	0	0	0	0	1	0	0	0
e592e8db-b3d1-4ab5-ae0d-de4b5b4c0f1a	0	0	0	0	0	0	1	0	0	0
e68bc7b4-b6b1-4807-b52c-7c7a19cdc373	0	0	0	0	0	0	1	0	0	0
ea83f4e6-d2fa-481e-9e2f-e0489f3cbc93	0	0	0	0	0	0	1	0	0	0
ef76231d-5a21-4bbd-9847-c01be6fe8916	0	0	0	0	0	0	1	0	0	0
f0b46dcd-ce45-4405-8744-8f8b35606b75	0	0	0	0	0	0	1	0	0	0
f4798483-9e32-4e6a-8bb5-6f45af2a8ac5	0	0	0	0	0	0	1	0	0	0
f54d6b6f-3bc2-41dd-81d0-74cf9e1e90e9	0	0	0	0	0	0	1	0	0	0
fc7f8eeb-9c40-123e-e040-11ac0c484061	1	0	0	1	0	0	0	1	0	0
fe4611c2-bd37-4605-adfe-60efe0392b03	0	0	0	0	0	0	1	0	0	0
f82d213f-9843-28eb-e040-11ac0d483e48	1	0	0	0	0	0	0	1	0	0
